證券代碼,西元年份,營業費用,推銷費用,管理費用,研究發展費,營業收入淨額,資產總額,員工人數-母公司,ROA(C)稅前息前折舊前,ROA(A)稅後息前,負債比率,總負債/總淨值,回收利用水量,製程水回收率%,水回收率%,總用水量(含回收水),E_用水回收率%,E_取得用水相關國際認證,E_GRI_用水及廢水管理揭露度,SASB主產業,TSE產業_代碼,TSE產業_名稱,TEJ產業_名稱,TEJ子產業_名稱,SGA_alt,dLNSGA,dLNSGA_alt,dLNREV,D,Decrease,Water_Rate,Water_Disc,Water_Disc_GRI,Size,AI,EI,ROA,Lev,dLNSGA_w,dLNSGA_alt_w,dLNREV_w,Water_Rate_w,水回收率%_w,製程水回收率%_w,Size_w,AI_w,EI_w,ROA_w,Lev_w,Water_Rate_w_l1,Water_Rate_w_l2,製程水回收率%_w_l1,製程水回收率%_w_l2,Water_Disc_l1,Water_Disc_l2,Water_Disc_GRI_l1,Water_Disc_GRI_l2
1101,2014,5014926.0,964818.0,4011430.0,38678.0,118325809.0,292743832.0,878.0,2.52,1.54,44.66,80.69,267280.0,,,3902902.0,,,,提煉與礦產加工,M1100,水泥工業,水泥製造,水泥製造,4976248.0,-0.006379700801558,-0.0054332934542529,0.0189990939748696,0.0,0.0,,1.0,0.0,19.49480849104849,2.474048852689441,7.420190129441667e-06,1.54,44.66,-0.006379700801558,-0.0054332934542529,0.0189990939748696,,,,19.49480849104849,2.474048852689441,7.420190129441667e-06,1.54,44.66,,,,,1.0,0.0,0.0,0.0
1101,2015,4854318.0,859723.0,3987700.0,6895.0,93679076.0,293066355.0,825.0,1.71,0.9,46.95,88.49,291471.0,,,3482905.0,,,,提煉與礦產加工,M1100,水泥工業,水泥製造,水泥製造,4847423.0,-0.0325500474347144,-0.0262289698912656,-0.2335670569939694,1.0,0.0,,1.0,0.0,19.495909608918225,3.1284078314350583,8.806662439753356e-06,0.9,46.95,-0.0325500474347144,-0.0262289698912656,-0.2335670569939694,,,,19.495909608918225,3.1284078314350583,8.806662439753356e-06,0.9,46.95,,,,,1.0,1.0,0.0,0.0
1101,2016,4946868.0,733021.0,4193229.0,20618.0,89564306.0,266988696.0,810.0,2.51,1.18,44.79,81.14,287500.0,,,3370543.0,8.369,0.0,0.0,提煉與礦產加工,M1100,水泥工業,水泥製造,水泥製造,4926250.0,0.0188860309139791,0.0161308259951002,-0.044917985801625,1.0,1.0,,1.0,0.0,19.402716878389636,2.9809720850178865,9.043781347448837e-06,1.18,44.79,0.0188860309139791,0.0161308259951002,-0.044917985801625,,,,19.402716878389636,2.9809720850178865,9.043781347448837e-06,1.18,44.79,,,,,1.0,1.0,0.0,0.0
1101,2017,4950029.0,791540.0,4126090.0,32399.0,98311776.0,272557049.0,837.0,2.73,1.41,43.99,78.55,595325.0,,,3822544.0,8.53,0.0,0.0,提煉與礦產加工,M1100,水泥工業,水泥製造,水泥製造,4917630.0,0.0006387860978023,-0.0017513423981743,0.0931869464447388,0.0,0.0,,1.0,0.0,19.423358504284497,2.7723743796470526,8.51373084746226e-06,1.41,43.99,0.0006387860978023,-0.0017513423981743,0.0931869464447388,,,,19.423358504284497,2.7723743796470526,8.51373084746226e-06,1.41,43.99,,,,,1.0,1.0,0.0,0.0
1101,2018,5410638.0,901611.0,4485361.0,23666.0,124594602.0,344085118.0,871.0,3.1,1.87,42.64,74.33,452683.0,,,2790213.0,15.574,0.0,0.0,提煉與礦產加工,M1100,水泥工業,水泥製造,水泥製造,5386972.0,0.0889735805156295,0.0911567388578244,0.2369214662631904,0.0,0.0,,1.0,0.0,19.65639962077693,2.761637442366885,6.990672035695415e-06,1.87,42.64,0.0889735805156295,0.0911567388578244,0.2369214662631904,,,,19.65639962077693,2.761637442366885,6.990672035695415e-06,1.87,42.64,,,,,1.0,1.0,0.0,0.0
1101,2019,5753534.0,1013114.0,4699672.0,40748.0,122783014.0,367482385.0,995.0,3.28,1.92,43.27,76.28,23224.0,,,2123457.0,18.867,0.0,0.0,提煉與礦產加工,M1100,水泥工業,水泥製造,水泥製造,5712786.0,0.0614472590454138,0.0587233746258686,-0.0146465991124422,1.0,0.0,,1.0,0.0,19.722185943495603,2.9929415562318744,8.103726790743221e-06,1.92,43.27,0.0614472590454138,0.0587233746258686,-0.0146465991124422,,,,19.722185943495603,2.9929415562318744,8.103726790743221e-06,1.92,43.27,,,,,1.0,1.0,0.0,0.0
1101,2020,6245763.0,1106328.0,5110389.0,29046.0,114367247.0,389506236.0,1078.0,3.04,1.99,43.82,77.99,93480.0,,,2158830.0,9.694,0.0,1.0,提煉與礦產加工,M1100,水泥工業,水泥製造,水泥製造,6216717.0,0.082089039146302,0.084535133291089,-0.071003948164261,1.0,1.0,,1.0,1.0,19.78039043341649,3.4057498647318143,9.425775545685732e-06,1.99,43.82,0.082089039146302,0.084535133291089,-0.071003948164261,,,,19.78039043341649,3.4057498647318143,9.425775545685732e-06,1.99,43.82,,,,,1.0,1.0,0.0,0.0
1101,2021,6863624.0,709024.0,5797048.0,357552.0,107041452.0,441684559.0,1114.0,1.95,1.27,48.91,95.73,102430.0,,,1963980.0,13.091,0.0,3.0,提煉與礦產加工,M1100,水泥工業,水泥製造,水泥製造,6506072.0,0.0943322682738401,0.0454939407938947,-0.0661985741954396,1.0,1.0,,1.0,1.0,19.906106517839337,4.126294540548646,1.0407183191050136e-05,1.27,48.91,0.0943322682738401,0.0454939407938947,-0.0661985741954396,,,,19.906106517839337,4.126294540548646,1.0407183191050136e-05,1.27,48.91,,,,,1.0,1.0,1.0,0.0
1101,2022,8973011.0,820576.0,6850260.0,1302175.0,113929706.0,460808961.0,1147.0,1.55,0.72,48.29,93.39,9610000.0,,,19246000.0,17.78,1.0,3.0,提煉與礦產加工,M1100,水泥工業,水泥製造,水泥製造,7670836.0,0.2679857120846076,0.1646897108306024,0.0623654828644539,0.0,0.0,,1.0,1.0,19.948494113771456,4.044677873565302,1.0067611339223504e-05,0.72,48.29,0.2679857120846076,0.1646897108306024,0.0623654828644539,,,,19.948494113771456,4.044677873565302,1.0067611339223504e-05,0.72,48.29,,,,,1.0,1.0,1.0,1.0
1101,2023,10503609.0,967612.0,8095687.0,1440310.0,109314335.0,469438522.0,1183.0,1.53,0.7,45.91,84.89,9779460.0,,,19041190.0,45.92,2.0,3.0,提煉與礦產加工,M1100,水泥工業,水泥製造,水泥製造,9063299.0,0.157497618177878,0.166807576283503,-0.0413541048015879,1.0,0.0,,1.0,1.0,19.96704790448176,4.294391234232912,1.0822002439112855e-05,0.7,45.91,0.157497618177878,0.166807576283503,-0.0413541048015879,,,,19.96704790448176,4.294391234232912,1.0822002439112855e-05,0.7,45.91,,,,,1.0,1.0,1.0,1.0
