模型,類型,遞延期,Water_Var,變數,角色,係數,穩健SE,t值,p值,顯著性,N,公司數,adj_R2
模型1 水回收率% L0(當期),主分析,0,Water_Rate,dLNREV,β1,0.3207953854001856,0.0761469165995678,4.2128480012808085,2.5217076746609294e-05,***,996,249,0.34415688392302046
模型1 水回收率% L0(當期),主分析,0,Water_Rate,D_x_dREV,β2(黏性),-1.2680895530405318,0.47094015787064425,-2.6926766211108397,0.00708809813938825,***,996,249,0.34415688392302046
模型1 水回收率% L0(當期),主分析,0,Water_Rate,WaterRate_D_dREV,β3(三重交乘),0.0003680755582069516,0.00165022280983616,0.22304597658754668,0.8234997235605305,,996,249,0.34415688392302046
模型1 水回收率% L0(當期),主分析,0,Water_Rate,Water_Rate,β4(水主效果),-8.194021823050748e-05,0.00016620346821832478,-0.49301148230475467,0.6220044741726344,,996,249,0.34415688392302046
模型1 水回收率% L0(當期),主分析,0,Water_Rate,Size_D_dREV,控制交乘,0.08229057125760811,0.028934825844711298,2.843997461717889,0.004455140282603625,***,996,249,0.34415688392302046
模型1 水回收率% L0(當期),主分析,0,Water_Rate,AI_D_dREV,控制交乘,-0.04328599754633652,0.011416498578603721,-3.7915300604916777,0.00014972202175508648,***,996,249,0.34415688392302046
模型1 水回收率% L0(當期),主分析,0,Water_Rate,EI_D_dREV,控制交乘,374.40799063155754,273.34822862434163,1.3697106892399176,0.17077723061340633,,996,249,0.34415688392302046
模型1 水回收率% L0(當期),主分析,0,Water_Rate,ROA_D_dREV,控制交乘,0.010385016731584665,0.017949022295007923,0.5785839786088516,0.5628699177407812,,996,249,0.34415688392302046
模型1 水回收率% L0(當期),主分析,0,Water_Rate,Lev_D_dREV,控制交乘,-0.0006537361362815075,0.0020957228547388855,-0.3119382578680515,0.7550874465620844,,996,249,0.34415688392302046
模型1 水回收率% L0(當期),主分析,0,Water_Rate,Decrease_D_dREV,控制交乘,0.15945104707462063,0.07328500514140322,2.175766335377343,0.02957273713870904,**,996,249,0.34415688392302046
模型1 水回收率% L1(t-1),主分析,1,WaterRate_l1,dLNREV,β1,0.4077260496796437,0.09025339212926155,4.517570365617899,6.255324387816133e-06,***,863,229,0.3539992230711604
模型1 水回收率% L1(t-1),主分析,1,WaterRate_l1,D_x_dREV,β2(黏性),-0.6925415257352788,0.4886998887136313,-1.4171100541033574,0.15645075348616042,,863,229,0.3539992230711604
模型1 水回收率% L1(t-1),主分析,1,WaterRate_l1,WaterRate_D_dREV_l1,β3(三重交乘),0.0014742079408768902,0.001347702129125217,1.0938677835537645,0.2740129701077526,,863,229,0.3539992230711604
模型1 水回收率% L1(t-1),主分析,1,WaterRate_l1,WaterRate_l1,β4(水主效果),-0.00013011180479710434,0.00017404332272540817,-0.7475828590240402,0.45471180694779756,,863,229,0.3539992230711604
模型1 水回收率% L1(t-1),主分析,1,WaterRate_l1,Size_D_dREV,控制交乘,0.03428544250703629,0.028411444605947998,1.2067475970531452,0.2275293626909507,,863,229,0.3539992230711604
模型1 水回收率% L1(t-1),主分析,1,WaterRate_l1,AI_D_dREV,控制交乘,-0.00900007194179148,0.004281823198737588,-2.1019251669347243,0.035559831571220175,**,863,229,0.3539992230711604
模型1 水回收率% L1(t-1),主分析,1,WaterRate_l1,EI_D_dREV,控制交乘,155.78181415368363,295.28539670217907,0.527563556794524,0.5978022927061768,,863,229,0.3539992230711604
模型1 水回收率% L1(t-1),主分析,1,WaterRate_l1,ROA_D_dREV,控制交乘,0.03008252744596513,0.01014189117445739,2.96616547431792,0.00301538201699305,***,863,229,0.3539992230711604
模型1 水回收率% L1(t-1),主分析,1,WaterRate_l1,Lev_D_dREV,控制交乘,-0.0011246595263394374,0.0017306399092730767,-0.6498518382208288,0.5157879305387998,,863,229,0.3539992230711604
模型1 水回收率% L1(t-1),主分析,1,WaterRate_l1,Decrease_D_dREV,控制交乘,0.21304057211422164,0.06824943567210849,3.1214993943354314,0.0017993261808847908,***,863,229,0.3539992230711604
模型1 水回收率% L2(t-2),主分析,2,WaterRate_l2,dLNREV,β1,0.42260376989541787,0.1252684339263084,3.3735854807925736,0.0007419600549871858,***,731,206,0.389326503119902
模型1 水回收率% L2(t-2),主分析,2,WaterRate_l2,D_x_dREV,β2(黏性),-0.717353678752936,0.4458554046930167,-1.608937945356641,0.10762991124432722,,731,206,0.389326503119902
模型1 水回收率% L2(t-2),主分析,2,WaterRate_l2,WaterRate_D_dREV_l2,β3(三重交乘),0.0013787744134336774,0.0013407896523890334,1.0283301418510817,0.3037945570976607,,731,206,0.389326503119902
模型1 水回收率% L2(t-2),主分析,2,WaterRate_l2,WaterRate_l2,β4(水主效果),-0.00020010786846443265,0.0001707836938521613,-1.1717035974034837,0.24131607822739398,,731,206,0.389326503119902
模型1 水回收率% L2(t-2),主分析,2,WaterRate_l2,Size_D_dREV,控制交乘,0.03691945684982285,0.02865904040158816,1.2882307408930878,0.1976656540411117,,731,206,0.389326503119902
模型1 水回收率% L2(t-2),主分析,2,WaterRate_l2,AI_D_dREV,控制交乘,-0.010121582498178834,0.00448724251962607,-2.255635271307396,0.02409348238229612,**,731,206,0.389326503119902
模型1 水回收率% L2(t-2),主分析,2,WaterRate_l2,EI_D_dREV,控制交乘,243.05479579607368,345.8900967606192,0.7026937113041576,0.4822466475989291,,731,206,0.389326503119902
模型1 水回收率% L2(t-2),主分析,2,WaterRate_l2,ROA_D_dREV,控制交乘,0.0171871731072923,0.00848796947145046,2.024886301146802,0.04287904056842115,**,731,206,0.389326503119902
模型1 水回收率% L2(t-2),主分析,2,WaterRate_l2,Lev_D_dREV,控制交乘,-0.0010685070518518585,0.0026622756927284323,-0.40135101513727883,0.6881617088380325,,731,206,0.389326503119902
模型1 水回收率% L2(t-2),主分析,2,WaterRate_l2,Decrease_D_dREV,控制交乘,0.18517320848441535,0.07974101350400947,2.322182780823379,0.020223095762772862,**,731,206,0.389326503119902
模型2 水揭露 L0(當期),次分析,0,Water_Disc,dLNREV,β1,0.3447501186759253,0.013282437213671852,25.95533584160803,1.582834076709594e-148,***,16661,1757,0.3213495222568594
模型2 水揭露 L0(當期),次分析,0,Water_Disc,D_x_dREV,β2(黏性),-0.147322820427386,0.13495046602013192,-1.0916807090196219,0.27497346725296423,,16661,1757,0.3213495222568594
模型2 水揭露 L0(當期),次分析,0,Water_Disc,WaterDisc_D_dREV,β3(三重交乘),0.0354050513030003,0.03963909654663933,0.8931851224546136,0.37175804396607437,,16661,1757,0.3213495222568594
模型2 水揭露 L0(當期),次分析,0,Water_Disc,Water_Disc,β4(水主效果),0.005206448347800165,0.004058493257126046,1.2828525312093346,0.1995437459721302,,16661,1757,0.3213495222568594
模型2 水揭露 L0(當期),次分析,0,Water_Disc,Size_D_dREV,控制交乘,0.009193839277308687,0.00904244642401902,1.0167424661635294,0.3092759582249086,,16661,1757,0.3213495222568594
模型2 水揭露 L0(當期),次分析,0,Water_Disc,AI_D_dREV,控制交乘,-0.005219083729499871,0.0009241234664131438,-5.64760437234325,1.6269906060366065e-08,***,16661,1757,0.3213495222568594
模型2 水揭露 L0(當期),次分析,0,Water_Disc,EI_D_dREV,控制交乘,12.123566454070877,36.952889785045,0.328081687916525,0.742849899323295,,16661,1757,0.3213495222568594
模型2 水揭露 L0(當期),次分析,0,Water_Disc,ROA_D_dREV,控制交乘,0.012630202894478033,0.0029784831868922552,4.2404815142355625,2.230408041051747e-05,***,16661,1757,0.3213495222568594
模型2 水揭露 L0(當期),次分析,0,Water_Disc,Lev_D_dREV,控制交乘,0.000411873942190148,0.0004943705119685338,0.8331280531885028,0.4047725136480558,,16661,1757,0.3213495222568594
模型2 水揭露 L0(當期),次分析,0,Water_Disc,Decrease_D_dREV,控制交乘,0.06181498175850013,0.01894579608794453,3.262728125625391,0.0011034532277891136,***,16661,1757,0.3213495222568594
模型2 水揭露 L1(t-1),次分析,1,WaterDisc_l1,dLNREV,β1,0.34465239420608224,0.01327156544759223,25.969234418281093,1.102791165081328e-148,***,16661,1757,0.32128515548734415
模型2 水揭露 L1(t-1),次分析,1,WaterDisc_l1,D_x_dREV,β2(黏性),-0.1636372911908966,0.1378464766740188,-1.1870981046390343,0.23518892588725526,,16661,1757,0.32128515548734415
模型2 水揭露 L1(t-1),次分析,1,WaterDisc_l1,WaterDisc_D_dREV_l1,β3(三重交乘),0.006223064765283577,0.03507180858166315,0.1774378059458624,0.8591645135751702,,16661,1757,0.32128515548734415
模型2 水揭露 L1(t-1),次分析,1,WaterDisc_l1,WaterDisc_l1,β4(水主效果),0.0027091929179875645,0.0036976476867423454,0.7326801111152867,0.4637535572618512,,16661,1757,0.32128515548734415
模型2 水揭露 L1(t-1),次分析,1,WaterDisc_l1,Size_D_dREV,控制交乘,0.010454293903800538,0.009264343443341653,1.1284441221049626,0.2591324028592774,,16661,1757,0.32128515548734415
模型2 水揭露 L1(t-1),次分析,1,WaterDisc_l1,AI_D_dREV,控制交乘,-0.005293912197700199,0.0009278259780781837,-5.705716721432545,1.1585454201722703e-08,***,16661,1757,0.32128515548734415
