水衡量,產業組,遞延期,β2(D×ΔREV),β2_sig,β3(Water×D×ΔREV),β3_sig,N,公司數,adjR2
水回收率%,全樣本,t-0,-1.2681,***,0.0004,n.s.,996,249,0.3442
水回收率%,全樣本,t-1,-0.6925,n.s.,0.0015,n.s.,863,229,0.354
水回收率%,全樣本,t-2,-0.7174,n.s.,0.0014,n.s.,731,206,0.3893
水回收率%,高耗水,t-0,-1.4791,***,0.0014,n.s.,707,165,0.3649
水回收率%,高耗水,t-1,-0.9405,*,0.0027,n.s.,619,155,0.3406
水回收率%,高耗水,t-2,-1.1518,***,0.0013,n.s.,527,145,0.3675
水回收率%,低耗水,t-0,-0.5442,n.s.,-0.0031,n.s.,289,84,0.3288
水回收率%,低耗水,t-1,-0.8746,n.s.,0.0015,n.s.,244,74,0.4178
水回收率%,低耗水,t-2,-0.2827,n.s.,-0.0011,n.s.,204,61,0.5286
水揭露,全樣本,t-0,-0.1473,n.s.,0.0354,n.s.,16661,1757,0.3213
水揭露,全樣本,t-1,-0.1636,n.s.,0.0062,n.s.,16661,1757,0.3213
水揭露,全樣本,t-2,-0.1588,n.s.,0.0103,n.s.,16661,1757,0.3213
水揭露,高耗水,t-0,-0.0634,n.s.,0.0572,n.s.,7252,754,0.2885
水揭露,高耗水,t-1,-0.1013,n.s.,0.0248,n.s.,7252,754,0.2883
水揭露,高耗水,t-2,-0.1004,n.s.,0.0241,n.s.,7252,754,0.2883
水揭露,低耗水,t-0,-0.1966,n.s.,-0.017,n.s.,9409,1003,0.3421
水揭露,低耗水,t-1,-0.2068,n.s.,-0.0372,n.s.,9409,1003,0.3421
水揭露,低耗水,t-2,-0.2011,n.s.,-0.0261,n.s.,9409,1003,0.3421
