論文名稱,畢業學年度,學位類別,作者,博碩士論文網址
涉外商標侵害事件國際裁判管轄之研究-以網路侵害為中心,102,碩士,林佳儒,https://hdl.handle.net/11296/n7j4ht
建築外觀與組織形象之研究,102,碩士,陳香,https://hdl.handle.net/11296/5s46yd
導入G7製程實現ISO 12647-2平版印刷標準規範之研究,102,碩士,林威辰,https://hdl.handle.net/11296/rnqs9c
臺灣當代廢墟攝影影像之表現意涵研究,102,碩士,陳乃琦,https://hdl.handle.net/11296/nm9prm
中部地區國小高年級學童美感素養現況調查之研究,102,碩士,林玉滿,https://hdl.handle.net/11296/hr5wju
共生•築夢－王程稼繪畫創作論述,102,碩士,王程稼 ,https://hdl.handle.net/11296/b3749k
「眾裡尋她」二十世紀台灣女性形象 賴靜鸞創作論述,102,碩士,賴靜鸞 ,https://hdl.handle.net/11296/cm44c3
東湧燈塔的故事以東引島燈塔為主題的繪本及圖文集創作研究,102,碩士,陳翠玲 ,https://hdl.handle.net/11296/8wqj4a
微光漫遊－黃騰萱創作論述,102,碩士,黃騰萱 ,https://hdl.handle.net/11296/69vz8a
記憶‧定格 － 陳威杰創作論述,102,碩士,陳威杰 ,https://hdl.handle.net/11296/5jv9s9
歐陽文的生命歷程與繪畫表現,102,碩士,黃齡蘭,https://hdl.handle.net/11296/pscu3w
北區國小打擊樂團組訓之調查研究,102,碩士,張筱君,https://hdl.handle.net/11296/3pzvsk
崔佛•懷《長笛實用手冊》及其應用於長笛管弦樂片段之探究,102,碩士,賴思潔,https://hdl.handle.net/11296/3hk8y7
國中生英語焦慮、英語學習動機與英語學習態度之相關研究-以恆春半島為例,102,碩士,簡秋菊,https://hdl.handle.net/11296/5p325g
印記她們的視界-廖秀梅創作論述,102,碩士,廖秀梅,https://hdl.handle.net/11296/34bdyx
後青春期的毛毛邊,102,碩士,蕭郁婷,https://hdl.handle.net/11296/u93kdb
不安而陶~曾銀月陶藝作品的中年期情愫,102,碩士,曾銀月,https://hdl.handle.net/11296/5czqx4
尼龍66合膠研究,102,碩士,王煜智,https://hdl.handle.net/11296/fcch2b
融入即時與真實水文資訊之地球水循環系統思考課程對國小高年級學生系統思考技能與知識結構之影響：個案研究,102,碩士,蔡曉旻,https://hdl.handle.net/11296/5v7y3q
國中視覺藝術教師運用資訊科技教學效能與教師專業成長之研究,102,碩士,黃于真,https://hdl.handle.net/11296/cq34v5
迷彩城市．忙疏離－游裕德創作論述,102,碩士,游裕德,https://hdl.handle.net/11296/77cq5g
制服下的微抗爭 -吳佩純的影像反思系列創作論述,102,碩士,吳佩純,https://hdl.handle.net/11296/7w245v
尋跡—從它者到微型格子 張明錫裝置藝術論述,102,碩士,張明錫,https://hdl.handle.net/11296/4j9nur
軌跡--王惠雪創作自述,102,碩士,王惠雪,https://hdl.handle.net/11296/2zv68m
製備簡易的幾丁聚糖固定在磁性奈米粒子作為磷酸化胜肽選擇性萃取,102,碩士,蔡朋璇,https://hdl.handle.net/11296/8ukv43
影響餐廳顧客知覺價值與滿意度因素之研究,102,碩士,杜學勳,https://hdl.handle.net/11296/v42qjy
麻豆戲院經營模式和特色對消費者行為影響之探討,102,碩士,杜奕樟,https://hdl.handle.net/11296/9b6wc8
行動載具於船舶路徑航行輔助定位,102,碩士,潘聖唯,https://hdl.handle.net/11296/ge9yp9
添加Ta於鋯基金屬玻璃之機械性質研究,102,碩士,蔡智凱,https://hdl.handle.net/11296/eem5n3
台商海外直接投資對母國製造業空洞化之影響,102,碩士,黃隆昌,https://hdl.handle.net/11296/7gdv8r
全國師生鄉土歌謠比賽福佬語系類指定曲之分析研究-以國小組96至100學年度為例-,102,碩士,張家甄,https://hdl.handle.net/11296/geqkjp
國小一年級國語電子教科書課文歌曲化之內容分析研究--以南一、康軒版為例,102,碩士,吳青芳,https://hdl.handle.net/11296/adxur2
直笛教學提升國小四年級兒童音感及創作能力之研究,102,碩士,許潤騏,https://hdl.handle.net/11296/n5d3sj
伯恩斯坦 《美味佳餚：人聲和鋼琴的四篇食譜歌曲》 之樂曲分析與詮釋,102,碩士,黃雲珊,https://hdl.handle.net/11296/a9d9p4
微熱流系統介面滑移現象的數值模擬研究,102,碩士,洪登豐,https://hdl.handle.net/11296/4eyz5e
