,"論文名稱","研究生","指導教授","校院名稱","系所名稱","學位類別","畢業學年度","論文出版年","引用網址","被引用","點閱","評分","下載","書目收藏"
"1","獲利效率對永續效率的影響：ESG和權力距離的 調節作用","阮仲成","郭國誠","中國文化大學","國際企業管理學系","博士","114","2025","https://hdl.handle.net/11296/gepv29","0","39","0","0","0"
"2","化學原料產業因應ESG趨勢的關鍵因素之研究： 以K公司為例","周育德","吳建興","國立高雄大學","高階經營管理碩士在職專班(EMBA)","碩士","114","2025","https://hdl.handle.net/11296/wtc6bt","0","34","0","6","0"
"3","Evaluating the Relationship Between ESG Scores and Financial Performance: A Practical Analysis of the Top 100 U.S. Companies Using Pivot Tables and T-Tests","宋宜靜","詹乾隆","東吳大學","企業管理學系","碩士","114","2025","https://hdl.handle.net/11296/gh3k3d","0","55","0","10","0"
"4","經理人調節焦點與ESG之關聯研究:兼論家族與非家族的影響","王妤絜","林逸程","國立彰化師範大學","財務金融技術學系","碩士","114","2025","https://hdl.handle.net/11296/s5hhhx","0","43","0","0","0"
"5","台灣建築業永續表現與其財務資料的相關性研究","李毓德","黃啟瑞","國立臺北大學","國際財務金融碩士在職專班(IEMBA)","碩士","114","2026","https://hdl.handle.net/11296/q438mr","0","6","0","0","0"
"6","台灣銀行業永續投入與數位轉型之關聯性","李銘慈","林文昌","國立中正大學","金融科技碩士學位學程","碩士","114","2026","https://hdl.handle.net/11296/2tb4yj","0","12","0","3","0"
"7","以行為財務學探討台灣永續評鑑構面對投資人投資意願之影響-展望理論、稟賦效果、心理帳戶觀點","尤勇傑","王仁聖","國立屏東大學","企業管理學系碩士班","碩士","114","2026","https://hdl.handle.net/11296/vf865k","0","8","0","2","0"
"8",,"安六堯山","薄榮薇","明志科技大學","國際企業管理碩士學位學程","碩士","114","2026","https://hdl.handle.net/11296/njztmb","0","4","0","0","0"
"9","綠潛共生：永續發展視角下的潛水產業轉型","呂璟泓","謝源弘
黃恆獎","國立臺灣大學","企業管理碩士專班","碩士","114","2025","https://hdl.handle.net/11296/yjqwdf","0","3","0","2","0"
"10","臺灣職業高爾夫賽事商業模式整合永續之觀點","林本珊","張家榮","臺北市立大學","休閒運動管理學系碩士在職專班","碩士","114","2026","https://hdl.handle.net/11296/524y9p","0","6","0","1","0"
"11","從永續報告書探討利害關係人議合品質：以台灣及歐洲電信公司為例","張鈺羚","林新沛","國立中山大學","公共事務管理研究所","碩士","114","2025","https://hdl.handle.net/11296/y57k7v","0","35","0","4","0"
"12",,"AHMED YESIRA IBRAHIM","陳綉里","銘傳大學","企業管理學系","碩士","114","2026","https://hdl.handle.net/11296/r9cv4a","0","18","0","0","0"
"13","電商「環境、社會、治理」行銷傳播能力之研究:以MOMO改善物流過程「碳排放」為例","藍郁淳","牛隆光","佛光大學","傳播學系","碩士","114","2026","https://hdl.handle.net/11296/8rezxg","0","70","0","19","0"
"14","從永續土地管理與架構視角探討農地區段徵收制度的反思與重構","張仕興","盛子駿","嶺東科技大學","企業管理系高階經營管理碩士在職專班(EMBA)","碩士","114","2026","https://hdl.handle.net/11296/5ngqaf","0","24","0","2","0"
"15","永續發展債券與永續績效之關聯性 — 以臺灣金融業為例","楊雅蘭","蔡元棠","國立臺北大學","會計學系","碩士","114","2025","https://hdl.handle.net/11296/nh8gz7","0","55","0","0","0"
