論文名稱,畢業學年度,學位類別,作者,博碩士論文網址
飄洋過海-王智蔚水墨創作,111,碩士,王智蔚,https://hdl.handle.net/11296/5bcc35
外國直接投資對中國經濟成長影響,111,碩士,蔡臣訓,https://hdl.handle.net/11296/xgqc7e
比較兩種不同的訓練計畫對於年輕業餘拳擊手下肢力量及打擊表現之效果,111,博士,Monchai Chottidao,https://hdl.handle.net/11296/3s6q9h
可溶解、可印刷及可自修復隨機雷射光學元件,111,博士,廖佑銘,https://hdl.handle.net/11296/tyqqgd
《Emotion in Motion》肢體動作與情緒之動態圖像創作研究,111,碩士,洪勻珮,https://hdl.handle.net/11296/u9he93
創作性戲劇應用於國民小學四年級學童火災防災知識之研究,111,碩士,王茜妤,https://hdl.handle.net/11296/afc3jq
自然‧意象 － 陳偉銘創作論述,111,碩士,陳偉銘,https://hdl.handle.net/11296/r585vc
教育志工參與志願服務動機及持續服務意願之研究-以臺中市清水區某國小為例,111,碩士,鄭淑娟,https://hdl.handle.net/11296/ts57jw
針織物生產自動化之流程規劃研究,111,碩士,王來成,https://hdl.handle.net/11296/mtp28z
應用微生物燃料電池同時處理有機污染物與六價鉻之研究,111,碩士,林志達,https://hdl.handle.net/11296/n3m6cy
國小中年級國語教科書課文閱讀理解研究,111,碩士,黃彗婷,https://hdl.handle.net/11296/ak4j6g
宗教志工服務參與動機與組織承諾之探討 -以某財團法人為例,111,碩士,周玉菁,https://hdl.handle.net/11296/uy8yu9
葛拉納多斯《詩意圓舞曲》之踏板運用及演奏詮釋,111,碩士,王靜怡,https://hdl.handle.net/11296/t636hd
威士忌平面廣告表現類型之視覺意象研究,111,碩士,陳瑋伶,https://hdl.handle.net/11296/pjf48s
以系統性文獻回顧法探討運動政策研究發展趨勢 (2000-2020),111,碩士,歐陽儀,https://hdl.handle.net/11296/46487x
《島的洄游》 馬祖文化之資訊圖表創作研究,111,碩士,鄭佑如,https://hdl.handle.net/11296/myfnq5
以十二年國教課綱觀點分析國小三年級康軒版藝術領域音樂教科書,111,碩士,潘冠儒,https://hdl.handle.net/11296/bv4pdy
汽車維修的零件更換時機之探討,111,碩士,顏郁宸,https://hdl.handle.net/11296/88su6y
運用紀錄片教學於國小六年級學生多元文化教育之學習成效研究,111,碩士,石青蓉,https://hdl.handle.net/11296/9825ba
新冠疫情影響迷文化的生存與發展—以二次創作漫畫為例,111,碩士,鐘奇君,https://hdl.handle.net/11296/h2u4wt
台中市海線地區國小高年級學童衝動性格、媒體選擇與攻擊行為之關係探究,111,碩士,王續潔,https://hdl.handle.net/11296/n22pu9
高中生依附關係、衝動性格與偏差行為之關係探究：以台中市某高中為例,111,碩士,胡少君,https://hdl.handle.net/11296/866d7s
績效獎金制度滿意對組織公民行為之影響,111,碩士,吳黛伶,https://hdl.handle.net/11296/v57tn7
國中生對體育課程的參與動機與學習成效之研究-以屏北地區國中生為例,111,碩士,鄭吉均,https://hdl.handle.net/11296/8mug97
水上芭蕾運動參與者的社會網絡分析,111,碩士,張雅瑜,https://hdl.handle.net/11296/asysyp
以LDA主題模型與負二項迴歸分析線上商品評論及其有用性,111,碩士,陳映霖,https://hdl.handle.net/11296/5re88e
零時體育介入國中體育班學生注意力之影響,111,碩士,柯縈蓁,https://hdl.handle.net/11296/4quwum
彈翻床運動訓練對國小學童記憶力與體適能成效之研究,111,碩士,劉沛蕎,https://hdl.handle.net/11296/234f6v
自我調整策略發展模式與五感觀察融入國小四年級寫作教學之行動研究,111,碩士,莊凡瑩,https://hdl.handle.net/11296/kj236u
乙二醛陰離子光電子光譜的理論研究,111,碩士,陳昱諺,https://hdl.handle.net/11296/ng7q29
高中國文科素養導向課程設計與學生學習成效之研究,111,碩士,陳珮瑜,https://hdl.handle.net/11296/856knr
以圖像檢索為基礎之材料元件訂購服務設計,111,碩士,陳昱成,https://hdl.handle.net/11296/974cpq
繪本融入高中資源班社會技巧教學之行動研究,111,碩士,林千蕙,https://hdl.handle.net/11296/vyse8v
技術型高中全面採用遠距教學關鍵影響因素之重要與表現度分析-多元利害關係人觀點,111,碩士,陳畇辰,https://hdl.handle.net/11296/kf7w46
鑽探對岩心擾動影響之探討,111,碩士,葉峻廷,https://hdl.handle.net/11296/ev8cn2
,111,博士,亞諾,https://hdl.handle.net/11296/6p57ut
STEAM課程對國中學生生活科技學習成效之影響-以「手搖發電仿生獸」單元為例,111,碩士,陳偉哲,https://hdl.handle.net/11296/9ye4d8
問題導向學習與學習風格對學習動機與學習成效影響之研究:以技術型高中機械力學為例,111,碩士,林亭妤,https://hdl.handle.net/11296/vn57yx
高級中等學校校長品味信念、職場希望感與復原力之相關研究,111,碩士,花翊豪,https://hdl.handle.net/11296/tma3b7
技術型高中機械群學生素養導向學習認知及其學習態度之關係研究-以中彰投地區為例,111,碩士,胡朝亭,https://hdl.handle.net/11296/tandhr
以Facebook社群融入美感經驗學習活動對美感經驗、想像力及技能學習成效之影響：以技術型高中美容科實作課程為例,111,碩士,林育新,https://hdl.handle.net/11296/x9965k
高級中等學校學生行動載具使用、資訊分享與自主學習關聯性之研究,111,碩士,王宥程,https://hdl.handle.net/11296/9754pk
技術型高中電機與電子群學生價值觀及其生涯發展之關係研究,111,碩士,陳思琪,https://hdl.handle.net/11296/y47r2a
全臺賦中洪繻賦作之詞彙風格研究,111,碩士,黃培瑋,https://hdl.handle.net/11296/ax772x
技術型高中進修部學生社會支持及其幸福感之關係研究－以桃竹苗地區為例,111,碩士,楊俞家,https://hdl.handle.net/11296/9e93fj
國內存股投資績效研究,111,碩士,羅靖雯,https://hdl.handle.net/11296/kdpvv4
線下與線上消費儀式感構成元素與消費者行為的關聯性探討,111,碩士,錢厚絜,https://hdl.handle.net/11296/cdb29k
彰化縣芬園鄉地方產業與旅遊發展之研究,111,碩士,楊穎蓁,https://hdl.handle.net/11296/4vr79s
特殊教育學校教師助理員能力內涵之研究,111,碩士,賴家汶,https://hdl.handle.net/11296/7edy43
慢跑介入對國小自閉症學生健康體適能及注意力影響之個案研究,111,碩士,陳品劭,https://hdl.handle.net/11296/4vzy7h
拉丁美洲電子商務經營策略之研究： 以墨西哥電商平台為例,111,碩士,王鈞,https://hdl.handle.net/11296/cf45rm
高級中等學校分散式資源班學生學習策略及其學校適應之關係研究,111,碩士,黃大千,https://hdl.handle.net/11296/382ggd
GoodFace!數位化的週邊性顏面神經麻痺患者身心照護輔具,111,碩士,郭仲軒,https://hdl.handle.net/11296/ms7kmt
新冠疫情下總體經濟因素對臺灣產業的影響,111,碩士,姚韋丞,https://hdl.handle.net/11296/v6f72j
COVID-19疫情期間桃園機場臉部辨識系統使用意願之研究,111,碩士,張茗鈞,https://hdl.handle.net/11296/4a4k4q
串流媒體服務訂制因素與持續使用意願之研究,111,碩士,楊佩玲,https://hdl.handle.net/11296/x835c8
運動訓練與停止訓練對中老年人骨骼肌氧合能力與身體功能表現之影響,111,博士,杨永,https://hdl.handle.net/11296/q77rce
植基於5G多型態網路環境下使用區塊鏈技術進行身份驗證之研究,111,碩士,高一陳,https://hdl.handle.net/11296/yb3567
消費者對量販店自助結帳再使用意願之研究,111,碩士,蕭銘宏,https://hdl.handle.net/11296/e2zczh
社會住宅智慧綠建築施工品質管理之研究,111,碩士,張智楷,https://hdl.handle.net/11296/5xqvmh
客製化服務、品牌形象、知覺價值對消費者購買品牌電腦意願影響之研究,111,碩士,李孟倫,https://hdl.handle.net/11296/ukbs4k
約翰福音二十章1–18節中抹大拉馬利亞的轉變—以格雷馬斯行動素模型理論分析探討,111,碩士,劉虹君,https://hdl.handle.net/11296/y45x8a
應用社群媒體用以提升產品曝光與銷售之研究,111,碩士,劉濬瑋,https://hdl.handle.net/11296/qv857p
共享經濟中餐飲外送平台之實務研究,111,碩士,李慧芝,https://hdl.handle.net/11296/55y6bh
NFT非同質化代幣購買意圖之研究,111,碩士,陳奕達,https://hdl.handle.net/11296/68b5xn
企業反併購策略之個案研究,111,碩士,彭梅芳,https://hdl.handle.net/11296/8zpdpv
卑南語學習的批評分析：法語與卑南語之語言教材比較,111,碩士,王琦堯,https://hdl.handle.net/11296/87vbv2
探討數位科技導入餐飲服務業對於消費者服務體驗之影響,111,碩士,張雅涵,https://hdl.handle.net/11296/4q9c7x
公務機關資訊安全風險因素之研究,111,碩士,顏懋仁,https://hdl.handle.net/11296/592m49
觀光夜市攤商對行動支付持續使用意願之研究,111,碩士,陳姿羽,https://hdl.handle.net/11296/7fntj5
電信業採用電信支付對經營策略影響之研究,111,碩士,朱紹綺,https://hdl.handle.net/11296/62365t
消費者5G資費方案選擇性之分析研究,111,碩士,古勝年,https://hdl.handle.net/11296/kq2836
智慧教室融入語文教學的學習成效之研究,111,碩士,李玉琳,https://hdl.handle.net/11296/d9jecp
傳統民營銀行數位金融創新之研究,111,碩士,薛丞邑,https://hdl.handle.net/11296/w5zzrm
強化資訊通信系統的安全機制設計之研究,111,碩士,林㒥祥,https://hdl.handle.net/11296/8g5kqb
素養導向食農教育課程設計與實施之行動研究,111,碩士,曾思潔,https://hdl.handle.net/11296/5g7vmv
新媒體宣傳對品牌形象提升之個案研究,111,碩士,樊仲諭,https://hdl.handle.net/11296/zqm93x
移動平均線搭配馬丁停損利策略之績效研究,111,碩士,嚴楦鈞,https://hdl.handle.net/11296/5bf3z3
COVID-19 疫情期間企業授信策略之研究,111,碩士,蔡燕玲,https://hdl.handle.net/11296/59w6rd
數位學習對國小學童學習成效影響──以籃球運球上籃為例,111,碩士,張芊芊,https://hdl.handle.net/11296/nfbs59
以網紅作為周邊線索對產品態度及購買意願之研究,111,碩士,鄭雁庭,https://hdl.handle.net/11296/dhv8wc
社會住宅智慧綠建築導入資訊模型之研究,111,碩士,洪國桓,https://hdl.handle.net/11296/fzsvvj
植基於雲端技術導入內容傳遞網路效益之研究,111,碩士,王豐偉,https://hdl.handle.net/11296/xg58sy
公有雲端企業資料庫即時同步備援到企業自有機房之研究,111,碩士,周建竹,https://hdl.handle.net/11296/g2v7ru
系統移轉關鍵因素之實務研究,111,碩士,陳慧姍,https://hdl.handle.net/11296/7rw4h7
社群媒體運作對廣告行銷成效之研究,111,碩士,李肇軒,https://hdl.handle.net/11296/68vk7h
自動化安全檢核方法之研究,111,碩士,郭民瑜,https://hdl.handle.net/11296/6apjd6
數位平臺結合Google Classroom的英語學習成效之研究,111,碩士,許瓊文,https://hdl.handle.net/11296/76jukn
優化採購管理之實務研究,111,碩士,陳美芳,https://hdl.handle.net/11296/2eezq8
會員制無人商店的精準行銷之研究,111,碩士,陳建仁,https://hdl.handle.net/11296/bs8w25
跑步運動介入對國小高年級學童運動參與程度與身體自我概念之研究,111,碩士,呂孟怡,https://hdl.handle.net/11296/49wa84
沙氏法對收益結構和績效之影響：臺灣會計師產業的證據,111,博士,陳劍雄,https://hdl.handle.net/11296/ufp6zn
