證券代碼,西元年份,營業費用,推銷費用,管理費用,研究發展費,營業收入淨額,資產總額,員工人數-母公司,ROA(C)稅前息前折舊前,ROA(A)稅後息前,負債比率,總負債/總淨值,回收利用水量,製程水回收率%,水回收率%,總用水量(含回收水),E_用水回收率%,E_取得用水相關國際認證,E_GRI_用水及廢水管理揭露度,E_GRI_廢棄物管理揭露度,E_每百萬營收廢棄物,E_有害廢棄物回收百分比%,G_報廢產品及電子廢棄物再循環百分比%,總重量(有害+非有害)(噸),廢棄物密集度(公噸/單位),有害廢棄物量(公噸),非有害廢棄物量(公噸),一般廢棄物罰鍰次數,事業廢棄物罰鍰次數,廢棄物清除處理機構罰鍰次數,廢棄物裁罰金額,SASB主產業,TSE產業_代碼,TSE產業_名稱,TEJ產業_名稱,TEJ子產業_名稱,SGA_alt,dLNSGA,dLNSGA_alt,dLNREV,DEC,SUCC_DEC,WATER_RATE,WATER_DISC,WASTE_DISC_GRI,WASTE_INTENSITY,WASTE_DISC,WASTE_FINE,WASTE_DENSITY,Waste_FineAmt,WASTE_FINE_INT,WATER_INTENSITY,SIZE,AI,EI,ROA,LEV,dLNSGA_w,dLNSGA_alt_w,dLNREV_w,WATER_RATE_w,水回收率%_w,製程水回收率%_w,WASTE_INTENSITY_w,WASTE_DENSITY_w,WASTE_FINE_w,WASTE_FINE_INT_w,WATER_INTENSITY_w,SIZE_w,AI_w,EI_w,ROA_w,LEV_w,WATER_RATE_w_l1,WATER_RATE_w_l2,製程水回收率%_w_l1,製程水回收率%_w_l2,WATER_DISC_l1,WATER_DISC_l2,WASTE_DISC_GRI_l1,WASTE_DISC_GRI_l2,WASTE_INTENSITY_w_l1,WASTE_INTENSITY_w_l2,WASTE_DISC_l1,WASTE_DISC_l2,WASTE_FINE_w_l1,WASTE_FINE_w_l2,WASTE_FINE_INT_w_l1,WASTE_FINE_INT_w_l2,WATER_INTENSITY_w_l1,WATER_INTENSITY_w_l2
000104,2020,,,,,,,,,,,,,,,4842.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000104,2021,,,,,,,,,,,,,,,4030.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,
000104,2022,,,,,,,,,,,,,,,4000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
000104,2023,,,,,,,,,,,,,,,3790.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
000104,2024,,,,,,,,,,,,,,,3959.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
000116,2020,,,,,,,,,,,,,,,25309.0,,,,,,,,,,,,,,,,,M2800,金融業,證券,證券,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000116,2021,,,,,,,,,,,,,,,25120.0,,,,,,,,,,,,,,,,,M2800,金融業,證券,證券,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,
000116,2022,,,,,,,,,,,,,,,24050.0,,,,,,,,,,,,,,,,,M2800,金融業,證券,證券,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
000218,2020,,,,,,,,,,,,,,,3827900.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,金融,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000218,2021,,,,,,,,,,,,,,,3694200.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,金融,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,
000218,2022,,,,,,,,,,,,,,,3195800.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,金融,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,
000218,2023,,,,,,,,,,,,,,,2817000.0,0.0,0.0,1.0,0.0,0.0097,,,,,,,,,,,金融,,,,,,,,,,,,0.0,1.0,0.0097,0.0,,,,,,,,,,,,,,,,,0.0097,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,
000218,2024,,,,,,,,,,,,,,,2499700.0,0.0,0.0,1.0,0.0,0.0079,0.0,0.0,,,,,,,,,金融,,,,,,,,,,,,0.0,1.0,0.0079,0.0,,,,,,,,,,,,,,,,,0.0079,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0097,,0.0,0.0,,,,,,
000538,2021,,,,,,,,,,,,,,,4502.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000538,2022,,,,,,,,,,,,,,,13400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,
000538,2023,,,,,,,,,,,,,,,12183.0,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
000538,2024,,,,,,,,,,,,,,,12742.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,0.0,,,,,
000601,2024,,,,,,,,,,,,,,,1241.0,0.0,0.0,0.0,0.0,0.0079,0.0,0.0,,,,,,,,,金融,,,,,,,,,,,,0.0,0.0,0.0079,0.0,,,,,,,,,,,,,,,,,0.0079,,,,,,,,,,,,,,,,,,,,,,,,,,,
000616,2022,,,,,,,,,,,,,,,10100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000616,2023,,,,,,,,,,,,,,,12100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,
000616,2024,,,,,,,,,,,,,,,12500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
000700,2020,,,,,,,,,,,,,,,24806.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000700,2021,,,,,,,,,,,,,,,25040.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,
000700,2022,,,,,,,,,,,,,,,23062.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
000700,2023,,,,,,,,,,,,,,,32204.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
000700,2024,,,,,,,,,,,,,,,28940.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
000779,2021,,,,,,,,,,,,,,,18274.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000779,2022,,,,,,,,,,,,,,,20748.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,
000779,2023,,,,,,,,,,,,,,,19899.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
000779,2024,,,,,,,,,,,,,,,21790.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
000815,2024,,,,,,,,,,,,,,,13130000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000856,2022,,,,,,,,,,,,,,,1955.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,金融,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
