論文名稱,畢業學年度,學位類別,作者,博碩士論文網址
探討第二型間質蛋白?在人類攝護腺癌細胞轉移中所扮演的角色,110,博士,林心瀅,https://hdl.handle.net/11296/462843
運動健身中心會員參與動機與滿意度之研究－以台北市運動健身中心為例,110,碩士,孫葳庭,https://hdl.handle.net/11296/pbxrn6
新北市核心發展區都市氣候地圖建置之研究,110,碩士,江芷清,https://hdl.handle.net/11296/evzbu2
新北市國小教師休閒運動參與動機與休閒效益相關之研究,110,碩士,賴宛竺,https://hdl.handle.net/11296/hjm88y
台南市長期照顧關懷據點志工飲食健康識能及其食物選擇之研究,110,碩士,沈震東,https://hdl.handle.net/11296/yy4cp8
Faster EFT運用於次人格的轉化經驗,110,碩士,張以潔,https://hdl.handle.net/11296/2m2pbw
外籍生在台灣留學之動機、困境與因應策略 : 以泰國的學生為例,110,碩士,楊舒穎,https://hdl.handle.net/11296/5v4r94
吳柔瀅碩士學位音樂會樂曲解說,110,碩士,吳柔瀅,https://hdl.handle.net/11296/j5tkkt
以雙元觀點探討辨識因子對市場機會辨識之效果,110,碩士,李　一,https://hdl.handle.net/11296/95sqjm
華人地區紙鈔視覺圖像研究,110,碩士,李　婕,https://hdl.handle.net/11296/dtrv74
從刑事判決探討醫療法第82條修正對司法實務之影響,110,碩士,楊素盆,https://hdl.handle.net/11296/52e3xg
奈米纖維水凝膠及顆粒對預防牙周病之抗菌潛力,110,博士,安心亞,https://hdl.handle.net/11296/9v4bud
北北基公立幼兒園教保服務人員海洋文化素養與認知彈性之調查研究,110,碩士,韓羽,https://hdl.handle.net/11296/657rhd
臺灣綠蠵龜食性分析,110,碩士,伊菈,https://hdl.handle.net/11296/h6zzkf
道路管線施工交通維持案例實作研究,110,碩士,龍鴻,https://hdl.handle.net/11296/28b8pm
阿魯圖尼亞小號協奏曲：分析與演奏研究,110,碩士,黃書啟,https://hdl.handle.net/11296/v9h998
VR應用中基礎互動手勢指引呈現方式之易學性與學習體驗研究,110,碩士,鍾碧瑩,https://hdl.handle.net/11296/jkz638
創作性戲劇應用於國民小學四年級學童火災防災知識之研究,110,碩士,王茜妤,https://hdl.handle.net/11296/afc3jq
以相位移法重建錫球三維模型,110,碩士,王慧萱,https://hdl.handle.net/11296/3b92vm
臺灣與上海小學教科書「公民素養」內涵之比較研究,110,碩士,賴美伶,https://hdl.handle.net/11296/a5c44v
影響科技大學產學合作因素之研究,110,碩士,鄭淑真,https://hdl.handle.net/11296/kr6d9m
開發遊戲式學習模型以提升注意力缺陷過動症國小兒童的持續注意力和衝動抑制力,110,碩士,洪莉筑,https://hdl.handle.net/11296/kd5jn5
,110,碩士,武秋草,https://hdl.handle.net/11296/xetxex
週期化訓練之訓練強度研究—以休閒跑者為例,110,碩士,黃獎淳,https://hdl.handle.net/11296/93er29
二硼化鈦添加金屬粉末之無壓燒結研究,110,碩士,涂力仁,https://hdl.handle.net/11296/9r8f4q
人臉偵測APP結合紅外線追蹤定位技術之創新研究,110,碩士,李經康,https://hdl.handle.net/11296/7hzwvv
人工智慧對輔助決策型電腦兵棋系統行動方案之研究,110,碩士,張偉文,https://hdl.handle.net/11296/9pvr59
濁水溪沖積扇颱風降雨/淺含水層地下水位反應及補注型態分析,110,碩士,鄭泳禎,https://hdl.handle.net/11296/8ns7d8
臺北市危險及老舊建築物重建實例分析之研究,110,碩士,鄔玉琪,https://hdl.handle.net/11296/qmtfmp
具高可用性之磁碟陣列虛擬化方法之研究,110,碩士,劉凰源,https://hdl.handle.net/11296/uvj9q8
運動課程介入對國中特教班中度智能障礙學生動作技能影響之研究,110,碩士,呂雅琪,https://hdl.handle.net/11296/arhm5a
Nintendo Switch健身環大冒險運動介入對高職智能障礙學生健康體適能之影響,110,碩士,塗兆宏,https://hdl.handle.net/11296/5ed892
績效考核系統改善之研究,110,碩士,謝柏光,https://hdl.handle.net/11296/p26j6h
磁力創客課程對學生創造力影響之研究,110,碩士,張慧媜,https://hdl.handle.net/11296/h7crnt
高雄市國小教師對食農教育認知與投入意願之研究,110,碩士,林千琪,https://hdl.handle.net/11296/h3ges3
