論文名稱,畢業學年度,學位類別,作者,博碩士論文網址
台灣加權股價指數報酬與波動性之特性,106,碩士,王尹柔,https://hdl.handle.net/11296/2r6y4v
含奈米銀顆粒的苯甲酸水溶液之SERS實驗與分子理論模擬研究,106,碩士,李毓恆,https://hdl.handle.net/11296/dyqpts
高級華語學習者使用「可是」、「但是」及「不過」之特徵—以一對一遠距課程美籍學生為例,106,碩士,呂雅涵,https://hdl.handle.net/11296/755veg
太陽能收購價格變動研究分析（以市電併聯發電系統為例）,106,碩士,彭仁彥,https://hdl.handle.net/11296/he6n27
不同封裝膠應用在紫外光與藍光發光二極體的可靠度評估,106,碩士,吳書麟,https://hdl.handle.net/11296/5dkdh4
國中生家庭社經地位、家庭教養、人格特質、旁觀行為與霸凌行為之關係,106,碩士,陳柔澐,https://hdl.handle.net/11296/pybkr9
貿易便捷度與貿易難易度對貿易趨勢度影響之研究─以七大利基市場國家競爭力觀點為實證,106,碩士,李芸幸,https://hdl.handle.net/11296/gh4jqk
屏東縣國小學童休閒參與與幸福感之研究,106,碩士,范舜真,https://hdl.handle.net/11296/y65k27
從家庭與信仰論劉俠的生命書寫,106,碩士,劉華仙,https://hdl.handle.net/11296/6264xk
導電矽橡膠的製備、電性、溫度係數與應用,106,碩士,蘇柏儫,https://hdl.handle.net/11296/q42zcq
航空噪音陳抗對飛行初官基本飛行訓練影響之質性研究,106,碩士,林國欽,https://hdl.handle.net/11296/gn7zyq
以植物生態為戶外教學課程主題之研究-以高雄熱帶植物園為例,106,碩士,楊美慧,https://hdl.handle.net/11296/44eahs
國小六年級環境教育課程之行動研究－以鳥類生態教育為例,106,碩士,蘇美英,https://hdl.handle.net/11296/72tbv9
澎湖縣國小教師對無障礙旅遊認知與態度之研究,106,碩士,吳俐忻,https://hdl.handle.net/11296/cv462m
高雄市國小教師團購消費動機與團購行為關係之研究,106,碩士,黃伊瀅,https://hdl.handle.net/11296/adyfk4
屏東縣國小教師對生態旅遊的態度與滿意度之研究,106,碩士,楊麗如,https://hdl.handle.net/11296/2mmz22
應用巨量資料採礦於挖掘社群媒體淹水貼文,106,碩士,李岱凌,https://hdl.handle.net/11296/b3du89
高雄市國小教師生態旅遊動機與生態旅遊滿意度之研究,106,碩士,黃丹榆,https://hdl.handle.net/11296/766mtb
高雄市公立教保服務人員對幼兒運動遊戲課程認知與教學態度之研究,106,碩士,龔美慧,https://hdl.handle.net/11296/96w2vg
運動代表隊與一般學童心率變異度之比較,106,碩士,吳秀娟,https://hdl.handle.net/11296/r747w4
輪型透鏡桌上型漂浮影像系統架構設計與分析,106,碩士,戴俊欣,https://hdl.handle.net/11296/49brhk
提供無線接取服務的無人機自主佈建,106,碩士,周哲緯,https://hdl.handle.net/11296/xp2u85
公司治理改革對股東異常報酬之影響,106,碩士,李沛衡,https://hdl.handle.net/11296/63zqgv
客家菜的鹹、香、肥印象之探討,106,碩士,羅錦福,https://hdl.handle.net/11296/69ctqj
河道穩定之疏浚規劃,106,碩士,游令婉,https://hdl.handle.net/11296/7r7ca7
金柑類黃酮之酵素酯化及其產物之生物活性,106,碩士,邱雅耘,https://hdl.handle.net/11296/q9hs5t
行銷組合、品牌形象、知覺品質及生活型態對饅頭食品消費者再購買行為影響之研究,106,碩士,李家萍,https://hdl.handle.net/11296/9959ga
應用六標準差於改善顯示卡檢測流程之研究,106,碩士,黃佳揚,https://hdl.handle.net/11296/ch8sc7
品牌形象、知覺品質與顧客滿意度對行動電話再購意願影響之研究,106,碩士,陳嘉宏,https://hdl.handle.net/11296/r4pkv8
自助復話系統對電信用戶遲繳因素之研究,106,碩士,鍾瑞蓮,https://hdl.handle.net/11296/2gmray
露營者人格特質與環境屬性偏好關係之研究,106,碩士,王曉芬,https://hdl.handle.net/11296/m93k29
電信逾期繳款戶與回收率之關係探討,106,碩士,廖雯怡,https://hdl.handle.net/11296/462ru3
體驗教育對國中三年級學生角色知覺、挫折容忍力及團隊凝聚力影響之研究,106,碩士,鄧宇翔,https://hdl.handle.net/11296/4j84ve
風扇系統分數階PID控制,106,碩士,周政宏,https://hdl.handle.net/11296/u33m22
電信用戶信用評等模型之建置,106,碩士,陳瓊如,https://hdl.handle.net/11296/e7y5wb
國小高年級學童臉書使用習慣及使用行為對人際互動影響之研究,106,碩士,簡廷宇,https://hdl.handle.net/11296/pqwhbh
福利措施、工作價值、工作特性及工作滿意度對留營意願影響-以國軍駕駛士官兵為例,106,碩士,戴哲彬,https://hdl.handle.net/11296/8bwpe2
24小時自助預約取書機使用意願之研究-以新北市某圖書館為例,106,碩士,高于涵,https://hdl.handle.net/11296/8669yv
國軍運輸車隊管理導入智慧型運輸系統之研究,106,碩士,黃培欽,https://hdl.handle.net/11296/3rv2m4
高爾夫球運動參與者人格特質及參與動機對成就感影響之研究,106,碩士,陳敏信,https://hdl.handle.net/11296/2942tn
具提升延長維持時間電路之無橋式升壓功率因數修正整流器,106,碩士,蕭遠鎮,https://hdl.handle.net/11296/2qq5wh
銀行客戶對於銀行App使用意願之研究,106,碩士,黃勇遠,https://hdl.handle.net/11296/748n28
高中籃球聯賽對學生團隊凝聚力、運動參與及休閒滿意度影響之研究,106,碩士,吳依蓁,https://hdl.handle.net/11296/bef9nt
以分散式檔案系統為基礎建置叢集式檔案交換平台,106,碩士,王建翔,https://hdl.handle.net/11296/y39qqn
精準廣告推薦系統對轉換率影響之研究 - 以美妝產品為例,106,碩士,陳璽元,https://hdl.handle.net/11296/r7h338
B2C電子商務模式導入國軍服裝補給流程之探討,106,碩士,顧彬,https://hdl.handle.net/11296/6nvxf3
數位遊戲學習系統結合脈絡性思考應用於中學歷史教育之影響,106,碩士,吳孟樺,https://hdl.handle.net/11296/8ny43z
國小中年級學童休閒參與及同儕關係對幸福感影響之研究,106,碩士,蕭君儀,https://hdl.handle.net/11296/hwv47e
骨牌效應設計,106,碩士,郭亞綸,https://hdl.handle.net/11296/jjjy3a
高雄市國小高年級學童運動參與程度及學習成就之相關研究,106,碩士,范梅芳,https://hdl.handle.net/11296/bxp27w
