論文名稱,畢業學年度,學位類別,作者,博碩士論文網址
中部地區國小教育階段特殊教育教師對新特殊教育課程綱要之認知與意見調查研究,104,碩士,蕭詩凡,https://hdl.handle.net/11296/gv7h82
消費者網路挑選文發文動機與虛擬社群影響之研究,104,碩士,邱彥婷,https://hdl.handle.net/11296/wyvb9m
完美主義人格對知識分享之影響：以教練行為作為調節變項,104,碩士,王芝薇,https://hdl.handle.net/11296/mvg2n9
專案管理之典範移轉實務探討-以量販連鎖業快速導入ERP系統為例,104,碩士,薛緯祥,https://hdl.handle.net/11296/e47uaq
各年段學生及中小學教師地震類防災素養標準化評量建置與檢測之研究,104,碩士,曾文慧,https://hdl.handle.net/11296/nv5kz8
外人直接投資在越南重點經濟區之決定因素,104,碩士,明龍,https://hdl.handle.net/11296/p76gnf
直接教學法對國小智能障礙學生識字學習成效之研究,104,碩士,陳冠余,https://hdl.handle.net/11296/88w4r3
直接教學法對國小智能障礙學生英語功能性詞彙學習成效之研究,104,碩士,江佳瑾,https://hdl.handle.net/11296/qaxrnm
國小學習障礙學生工作記憶與數學學習成就關係之研究,104,碩士,王榆霆,https://hdl.handle.net/11296/am8daq
綜合高效識字教學法對國小學習障礙學生 識字成效之研究,104,碩士,陳佑鈴,https://hdl.handle.net/11296/wrtygv
圖片兌換溝通系統對無口語自閉症學童溝通行為之研究,104,碩士,葉易欣,https://hdl.handle.net/11296/99p4ns
幼兒對特殊需求同儕接納度及教師教學差異比較之研究,104,碩士,陳怡均,https://hdl.handle.net/11296/r78n94
苗栗縣國中小特殊教育教師情緒勞務與身心健康之研究,104,碩士,廖婉婷,https://hdl.handle.net/11296/gc83a6
自我的畫像－ 內心的困頓、迷茫與療癒,104,碩士,盧嘉成,https://hdl.handle.net/11296/t7mj96
食品安全管制的法律規範與消費者保護之研究,104,碩士,林四川,https://hdl.handle.net/11296/9p85ha
原生溪魚課程融入高年級視覺藝術教育之行動研究,104,碩士,黃漢民,https://hdl.handle.net/11296/4g37af
幽默設計概念運用於國小中年級兒童美術教學之行動研究,104,碩士,李淑華,https://hdl.handle.net/11296/xrfp4e
雲林縣沿海四鄉鎮國中新移民子女藝術態度之研究,104,碩士,洪瑤真,https://hdl.handle.net/11296/8vwq36
協同學習運用於原住民部落國小高年級視覺藝術主題統整課程行動研究,104,碩士,洪佳興,https://hdl.handle.net/11296/xc7u44
國民小學特教班視覺藝術教學之研究─以中高年級多重障礙班學生為例,104,碩士,周淑莉,https://hdl.handle.net/11296/w4tuu8
應用於筆記型電腦激發轉軸閉槽孔之激發器天線設計,104,碩士,鄒裕銓,https://hdl.handle.net/11296/t58vu2
運用e-GNSS結合多元圖資辦理土地複丈之研究-以桃園市桃園區、龜山區為例,104,碩士,劉榮山,https://hdl.handle.net/11296/726uyw
薄膜蒸餾串聯硫酸吸收及冰水冷凝回收廢水中氨氮之研究,104,碩士,紀柏豪,https://hdl.handle.net/11296/v99k58
UV/TiO2光催化技術之不同操作因子對四種特定染料之去除效率,104,碩士,吳媺瑜,https://hdl.handle.net/11296/7uk3b2
釣魚臺列嶼衝突及其對我國國家安全之影響,104,博士,林政榮,https://hdl.handle.net/11296/8gmnh3
透光導電基板最佳化研究,104,碩士,羅振瑋,https://hdl.handle.net/11296/5e7328
組織記憶建模從綠能低碳的海量資料,104,碩士,朱峻葳,https://hdl.handle.net/11296/kkd986
社區本位藝術教育融入幼兒美感經驗之行動研究-以八里廖添丁廟為例,104,碩士,郭珮蓉,https://hdl.handle.net/11296/g66c6c
身心障礙者為主題之圖畫書內容分析研究,104,碩士,張芷育,https://hdl.handle.net/11296/68mt9m
廣告決策、口碑傳遞及購買轉換關係之研究以Webike台灣粉絲團為例,104,碩士,胡珺偉,https://hdl.handle.net/11296/7pkrum
懸索橋檢測評估之研究,104,碩士,彭兆鳳,https://hdl.handle.net/11296/355x6z
具高扭力緩衝起動靜轉軸機構設計與應用,104,碩士,黃庭凱,https://hdl.handle.net/11296/3p68k4
臺中市公共藝術民眾參與活動實施之研究,104,碩士,賴惠英,https://hdl.handle.net/11296/tf988e
直笛教學使用流行歌曲對直笛初學者學習成就之影響,104,碩士,洪婷珊,https://hdl.handle.net/11296/ha76g5
音樂性電視選秀節目與青少年音樂學習動機之研究,104,碩士,羅珮綸,https://hdl.handle.net/11296/q7s822
葡萄糖酸內酯及幾丁聚醣對豆漿中蛋白及異黃酮凝聚之影響,104,碩士,夏勝陽,https://hdl.handle.net/11296/5p79pt
以三段技術分析探討我國高中組男子桌球選手戰型打法---以高雄市福誠高中為例,104,碩士,江大成,https://hdl.handle.net/11296/76sa8j
家庭財務資本、運動社會化對 國小學童運動社團參與的影響,104,碩士,梁榮宗,https://hdl.handle.net/11296/q9ebs6
多子多孫多福氣？國內有、無子女者之生活滿意度比較,104,碩士,潘美慧,https://hdl.handle.net/11296/f63tsd
企業實習計畫設計理念、運作實務 及施行成效之探討,104,碩士,王俊貿,https://hdl.handle.net/11296/dcvkpu
論呂格爾的敘事同一性──從帕菲特(Parfit)對「個人同一性」的批評談起,104,碩士,鍾尚志,https://hdl.handle.net/11296/44jp96
藍藻與綜合礦物質對蛹蟲草生長之影響,104,碩士,陳諺廷,https://hdl.handle.net/11296/f5gv3g
臺東縣國小原住民低成就學生補救教學實施現況之研究,104,碩士,侯乃菁,https://hdl.handle.net/11296/ruxfka
探討不同逆境發酵條件對 Candida rugosa胞內海藻糖累積量的影響,104,碩士,黃寶華,https://hdl.handle.net/11296/5fg53u
動能策略在台灣股市的應用實證分析,104,碩士,吳淑芬,https://hdl.handle.net/11296/efxd6n
文心雕龍色色相映-建築彩繪、陶塑創作論述,104,碩士,張高易,https://hdl.handle.net/11296/8nvp6q
從不同的詞序探討阿美族幼兒於華語理解之差異研究,104,碩士,旮仩．少多宜,https://hdl.handle.net/11296/4mn8pf
親子穴位按摩實體互動遊戲系統設計,104,碩士,徐靖惠,https://hdl.handle.net/11296/nmzm76
臺北市國小教師實施防災教育及使用 網路防災教學資源的現況及需求,104,碩士,蔡芳榕,https://hdl.handle.net/11296/k7ss4e
臺灣宗教文化創意產業政策形成與衝突之研究—以「臺灣宗教文化創意沃土計畫」為焦,104,碩士,劉昌林,https://hdl.handle.net/11296/u46c4z
組織餘裕對經營績效之探究-以台灣電子產業為例,104,碩士,徐偉庭,https://hdl.handle.net/11296/rzgu66
將擴增實境技術應用於互動式展覽,104,碩士,鄭凱中,https://hdl.handle.net/11296/8pbjb4
多元感官教學方案應用於國小三年級認譜教學之研究,104,碩士,許瑋玲,https://hdl.handle.net/11296/9hrx6w
以製程損失函數建構管制圖,104,碩士,蘇倍玄,https://hdl.handle.net/11296/f2n7s9
抗旋轉圖形式金鑰技術之研究,104,碩士,劉冠佑,https://hdl.handle.net/11296/f9gtd5
憲兵隊服務臺之服務創新與設計-以受理報案流程為例,104,碩士,李秀盆,https://hdl.handle.net/11296/vsgz7j
探索使用者創業家的創業動機─成本效益之觀點,104,碩士,陳芳儀,https://hdl.handle.net/11296/pn535r
BIM架構施工圖建置流程與方法之研究,104,碩士,李炳宏,https://hdl.handle.net/11296/49g6wj
以噴墨印刷法製備染料敏化太陽能電池光電極,104,碩士,胡秉淳,https://hdl.handle.net/11296/4nezx3
中部某大學學校課程與醫院實習內容之相關性,104,碩士,詹幸嚴,https://hdl.handle.net/11296/f2t478
財經網站介面使用性評估研究─以卡優新聞網為例,104,碩士,鄒韻婷,https://hdl.handle.net/11296/m7jkw5
應用於圖形理論數學學習遊戲的支持性反思介面設計與驗證,104,碩士,許紫婷,https://hdl.handle.net/11296/tg3b4n
團隊成員交換關係對工作績效之影響─挑戰式壓力與成就動機之調節效果,104,碩士,李香瑩,https://hdl.handle.net/11296/mhwqwn
駱維道臺灣音樂素材聖詩作品研究,104,碩士,李幸琅,https://hdl.handle.net/11296/bh9q7j
德明利姑娘音樂宣教之歷史研究,104,碩士,李幸琳,https://hdl.handle.net/11296/yfd38d
一次用飲料杯材質及相關外觀之低複雜度影像檢測,104,碩士,張育嘉,https://hdl.handle.net/11296/s7xuw9
股權偏離與董監質押對公司績效的影響,104,碩士,邱信雄,https://hdl.handle.net/11296/tw75m6
主管領導風格及工作滿意度間之研究－以工作價值觀為調節變項,104,碩士,王士瑋,https://hdl.handle.net/11296/ak4sjq
二維光子晶體散射式T型功率分光器之研究,104,碩士,張政興,https://hdl.handle.net/11296/qgxp93
以「從搖籃到搖籃」觀點 研擬建築物能資源管理評估架構,104,碩士,許家霖,https://hdl.handle.net/11296/bqv9d3
烏龍茶酒之品質及抗氧化能力分析,104,碩士,林暉峰,https://hdl.handle.net/11296/bc36ed
一位單親母親教養重度多重障礙兒的 心路歷程,104,碩士,原慕宜,https://hdl.handle.net/11296/gva385
炭工群像,104,碩士,李明吉,https://hdl.handle.net/11296/yeftbd
愛的甦醒與轉變-張蘇惠珠創作論述,104,碩士,張蘇惠珠,https://hdl.handle.net/11296/uw9be2
女子，愛的容顏 －李天琴的創作論述,104,碩士,李天琴,https://hdl.handle.net/11296/v6hafs
父親—楊從玓創作自述,104,碩士,楊從玓,https://hdl.handle.net/11296/c58h6b
花樣年華─趙謙油畫創作論述,104,碩士,趙謙,https://hdl.handle.net/11296/fa5264
生活印記-譚小華繪畫創作自述,104,碩士,譚小華,https://hdl.handle.net/11296/kq4gh7
神之所喻在我心－傅美玲繪畫創作自述,104,碩士,傅美玲,https://hdl.handle.net/11296/r3y367
裁切與縫合－張鏵云憶慈母油畫創作論述,104,碩士,張鏵云,https://hdl.handle.net/11296/nry79w
畫荷話荷--詹粹芬的蓮鄉之歌系列,104,碩士,詹粹芬,https://hdl.handle.net/11296/ey64a4
異域昇華─夏歆惠創作論述,104,碩士,夏歆惠,https://hdl.handle.net/11296/5rkpw6
畫淡水 話淡水—張佳惠油畫創作論述,104,碩士,張佳惠,https://hdl.handle.net/11296/evk4up
