論文名稱(中文),畢業學年度,學位類別,作者,博碩士論文網址
以物聯網技術開發燈光控制與智慧應用之研究,113,碩士,黃偉杰,https://hdl.handle.net/11296/dy5zzm
保羅·克雷斯頓《幻想曲，作品 42》 樂曲分析與演奏詮釋,113,碩士,劉虢卉,https://hdl.handle.net/11296/w4q6wv
宏觀審慎政策，戰爭與衝突以及銀行表現：  來自全球銀行的證據,113,碩士,劉瑤,https://hdl.handle.net/11296/k2e35w
貝多芬鋼琴奏鳴曲作品三十一之二 《暴風雨》之分析與詮釋演奏,113,碩士,楊佳憲,https://hdl.handle.net/11296/245p36
語音異常兒童之家長執行方案介入成效,113,碩士,曾今榆,https://hdl.handle.net/11296/ctyzxb
少子化與建屋成本暨房價所得比之關聯研究,113,碩士,黃士禎,https://hdl.handle.net/11296/95bta6
溫度梯度對固態銅銦銅結構中介金屬化合物成長之影響,113,碩士,江沛霓,https://hdl.handle.net/11296/5tyn36
在太赫茲波段中基於鐵電性聚偏氟乙烯(PVDF)聚合物的可調及可重構超材料和天線,113,博士,蘇達辛,https://hdl.handle.net/11296/5c9g7z
探討社會網絡對工作滿意度及離職意圖之影響－以組織信任為調節變數,113,碩士,陳俞安,https://hdl.handle.net/11296/ryhrqb
應用數位博物館對國小三年級學童地震防災素養之影響,113,碩士,曾鈺涵,https://hdl.handle.net/11296/5w8y34
運用LoiLoNote進行思維圖教學對國小學童科學閱讀理解影響之研究,113,碩士,鍾昕恬,https://hdl.handle.net/11296/eweqw7
以POE策略結合故事融入幼兒科學教學之行動研究,113,碩士,黃乙晏,https://hdl.handle.net/11296/c3xwx3
中高年級句型分析與英語迷思概念澄清式教學之行動研究,113,碩士,楊婉鈴,https://hdl.handle.net/11296/5jxtp6
東排灣族文化為主題的中年級國語文學習扶助教材研發,113,碩士,施于婷,https://hdl.handle.net/11296/jw7b2h
以SDG15陸域生態系融入水保議題的在地化課程行動研究,113,碩士,高珮瑜,https://hdl.handle.net/11296/2g2et4
以聯合國『永續發展目標11永續城鄉』發展『在地化課程』之行動研究,113,碩士,黃亭瑛,https://hdl.handle.net/11296/46g9hb
初任幼兒園教師美勞區實施歷程與專業成長之研究,113,碩士,羅幸娟,https://hdl.handle.net/11296/mbk554
