,"論文名稱","研究生","指導教授","校院名稱","系所名稱","學位類別","畢業學年度","論文出版年","引用網址","被引用","點閱","評分","下載","書目收藏"
"1","臺灣經營保險業務機構ESG分數與裁罰案件之關聯性分析","王畇丁","遲淑華","東吳大學","企業管理學系","碩士","114","2026","https://hdl.handle.net/11296/u88nvx","0","37","0","0","0"
"2","ESG對台灣銀行績效之探討：綠色金融為中介效果分析","武氏垂貞","吳訂宜","樹德科技大學","金融管理系碩士班","碩士","114","2026","https://hdl.handle.net/11296/nx5w27","0","39","0","15","0"
"3","CEO權力與管理者機會主義－董事會監督與所有權結構對財務與ESG資訊失真的影響","Febrine Pentadini","陳玉芬","大葉大學","管理學院博士班","博士","114","2026","https://hdl.handle.net/11296/u5393c","0","15","0","0","0"
"4","ESG的揭露與績效是否隨確信提供者而異？ 來自台灣的實證證據","黎銘峯","楊炎杰","元智大學","財務金融暨會計碩士班(會計學程)","碩士","114","2026","https://hdl.handle.net/11296/jkuf43","0","67","0","0","0"
"5","應用無母數及迴歸分析營建業ESG績效之揭露率研究","王彥筑","林正紋","逢甲大學","土木工程學系","碩士","114","2026","https://hdl.handle.net/11296/dntu5h","0","26","0","11","0"
"6","企業永續報告書之主題特徵與ESG評分對公司績效之影響","楊勛涵","邱志洲","國立臺北科技大學","經營管理系","碩士","114","2026","https://hdl.handle.net/11296/af2kb8","0","88","0","24","0"
"7","ESG績效對金融化之影響","陳宥竹","蕭慧玲","東海大學","財務金融學系","碩士","114","2026","https://hdl.handle.net/11296/26pjyb","0","69","0","0","0"
"8","ESG策略實踐與挑戰－以台灣蝴蝶蘭企業為例","江玲玉","謝國男","元智大學","管理碩士在職專班","碩士","114","2026","https://hdl.handle.net/11296/2qdm95","0","29","0","0","0"
"9","PPM觀點下的物流業ESG整合框架研究","洪子翔","蔡金倉","開南大學","觀光運輸學院碩士在職專班","碩士","114","2026","https://hdl.handle.net/11296/x6b4yf","0","62","0","8","0"
"10","結合ESG新聞事件之短期投資策略:臺灣股市的實證研究","陳怡安","鄭宏文","東吳大學","資料科學系","碩士","114","2026","https://hdl.handle.net/11296/pzyhj2","0","58","0","0","0"
"11","永續性與「漂綠」的判定:電動汽車產業ESG之研究","Roro Arum Widad Safira","劉彥青","國立雲林科技大學","企業管理系","碩士","114","2026","https://hdl.handle.net/11296/z48hg6","0","71","0","10","0"
"12","主管領導行為，激勵制度與公司ESG完善度對員工滿意度影響之研究：以越南員工為例","阮氏玄","張鉯崴","明新科技大學","企業管理系管理碩士班","碩士","114","2026","https://hdl.handle.net/11296/77y59g","0","28","0","0","0"
"13","ESG表現與公司績效及利益關係人關係之關聯：董事會多元化與永續制度化的角色","郭育維","石素娟","靜宜大學","行銷與數位經營管理學系","碩士","114","2026","https://hdl.handle.net/11296/5nmp8n","0","66","0","12","0"
"14","台灣上市公司股權結構對現金股利政策之影響 ─納入 ESG 觀點","蔡雅貞","張國雄","東海大學","高階經營管理碩士在職專班","碩士","114","2025","https://hdl.handle.net/11296/bepxb6","0","54","0","12","0"
"15","公司ESG揭露與國家特性因素對財務績效之影響","袁至晴","洪碧霞","國立暨南國際大學","財務金融學系","碩士","114","2026","https://hdl.handle.net/11296/e3zsf4","0","79","0","20","1"
"16","ESG策略對企業形象的影響：以永記造漆工業為例","王湘晴","吳行浩","國立高雄大學","高階法律暨管理碩士在職專班(EMLBA)","碩士","114","2026","https://hdl.handle.net/11296/pg357j","0","57","0","11","0"
"17","整合ESG框架之退場大學併購策略研究：台灣高等教育轉型之永續發展模式","王榕藝","江向才","逢甲大學","商學博士學位學程","博士","114","2026","https://hdl.handle.net/11296/f649ns","0","51","0","9","0"
"18","ESG指標的應用與產業評估-以汽車工業五大公司為例","陳怡玲","余建明
簡南山","南臺科技大學","企業管理系","碩士","114","2026","https://hdl.handle.net/11296/cw3g88","0","33","0","4","0"
"19","企業盈餘品質、ESG揭露與股票報酬率之關聯性分析","林妍伶","洪碧霞","國立暨南國際大學","財務金融學系","碩士","114","2026","https://hdl.handle.net/11296/u48yy7","0","91","0","21","1"
"20","ESG績效對股價崩盤風險之影響","周麗婷","林楚雄
高偉舜","國立高雄科技大學","財務管理系","碩士","114","2026","https://hdl.handle.net/11296/jqkcwr","0","104","0","0","0"
"21","ESG績效、碳排放與企業估值之關聯性分析 －以台灣鋼鐵產業為例","姜仲航","李正文
林震岩","中原大學","企業管理學系","博士","114","2026","https://hdl.handle.net/11296/9z7vnz","0","159","0","39","0"
"22","ESG 表現如何在台灣上市科技公司中調解企業數位轉型與財務表現？","寧武雄","王若愚","國立虎尾科技大學","財務金融系碩士班","碩士","114","2026","https://hdl.handle.net/11296/45b3tp","0","56","0","9","0"
"23","漂綠風險與ESG評分之關聯－以臺灣上市櫃公司為例","蔡承融","吳周燕","逢甲大學","會計學系","碩士","114","2026","https://hdl.handle.net/11296/u647nf","0","105","0","12","0"
"24","ESG對股票購回市場反應之影響：以購回經驗及董事會性別多樣性為調節變數","章姿妮","陳麗宇","東吳大學","企業管理學系","碩士","114","2026","https://hdl.handle.net/11296/5qhs42","0","45","0","7","0"
"25","國家創業精神對永續發展、競爭力與ESG的影響—跨國的實證分析","顧德里","陳昇鴻","國立高雄科技大學","國際企業系","博士","114","2026","https://hdl.handle.net/11296/bk539g","0","70","0","9","0"
