水衡量,產業組,遞延期,β2(D×ΔREV),β2_sig,β3(Water×D×ΔREV),β3_sig,N,公司數,adjR2
水回收率%,全樣本,t-0,-1.2681,***,0.0004,n.s.,996,249,0.3442
水回收率%,全樣本,t-1,-0.6925,n.s.,0.0015,n.s.,863,229,0.354
水回收率%,全樣本,t-2,-0.7174,n.s.,0.0014,n.s.,731,206,0.3893
水回收率%,高耗水,t-0,-1.4791,***,0.0014,n.s.,707,165,0.3649
水回收率%,高耗水,t-1,-0.9405,*,0.0027,n.s.,619,155,0.3406
水回收率%,高耗水,t-2,-1.1518,***,0.0013,n.s.,527,145,0.3675
水回收率%,低耗水,t-0,-0.5442,n.s.,-0.0031,n.s.,289,84,0.3288
水回收率%,低耗水,t-1,-0.8746,n.s.,0.0015,n.s.,244,74,0.4178
水回收率%,低耗水,t-2,-0.2827,n.s.,-0.0011,n.s.,204,61,0.5286
水揭露,全樣本,t-0,-0.1473,n.s.,0.0354,n.s.,16661,1757,0.3213
水揭露,全樣本,t-1,-0.1636,n.s.,0.0062,n.s.,16661,1757,0.3213
水揭露,全樣本,t-2,-0.1588,n.s.,0.0103,n.s.,16661,1757,0.3213
水揭露,高耗水,t-0,-0.0634,n.s.,0.0572,n.s.,7252,754,0.2885
水揭露,高耗水,t-1,-0.1013,n.s.,0.0248,n.s.,7252,754,0.2883
水揭露,高耗水,t-2,-0.1004,n.s.,0.0241,n.s.,7252,754,0.2883
水揭露,低耗水,t-0,-0.1966,n.s.,-0.017,n.s.,9409,1003,0.3421
水揭露,低耗水,t-1,-0.2068,n.s.,-0.0372,n.s.,9409,1003,0.3421
水揭露,低耗水,t-2,-0.2011,n.s.,-0.0261,n.s.,9409,1003,0.3421
廢棄物密集度,全樣本,t-0,-0.6394,***,0.0086,n.s.,3273,1659,0.3568
廢棄物密集度,全樣本,t-1,-0.4167,n.s.,-0.0013,n.s.,1653,1653,0.2852
廢棄物密集度,全樣本,t-2,,—,,樣本不足,0,0,
廢棄物密集度,高耗水,t-0,-0.7829,**,-0.0112,n.s.,1389,700,0.2895
廢棄物密集度,高耗水,t-1,-2.0335,***,-0.0503,*,699,699,0.2564
廢棄物密集度,高耗水,t-2,,—,,樣本不足,0,0,
廢棄物密集度,低耗水,t-0,-0.5707,**,0.0352,*,1884,959,0.395
廢棄物密集度,低耗水,t-1,0.4766,n.s.,0.0323,n.s.,954,954,0.3259
廢棄物密集度,低耗水,t-2,,—,,樣本不足,0,0,
廢棄物揭露,全樣本,t-0,-0.1685,n.s.,0.0043,n.s.,13875,1734,0.3249
廢棄物揭露,全樣本,t-1,-0.1569,n.s.,-0.0016,n.s.,12437,1720,0.3328
廢棄物揭露,全樣本,t-2,-0.1927,n.s.,0.0039,n.s.,10907,1708,0.3392
廢棄物揭露,高耗水,t-0,-0.1764,n.s.,0.0053,n.s.,5994,740,0.2902
廢棄物揭露,高耗水,t-1,-0.0987,n.s.,0.0023,n.s.,5354,735,0.2978
廢棄物揭露,高耗水,t-2,-0.2272,n.s.,-0.0041,n.s.,4682,731,0.3005
廢棄物揭露,低耗水,t-0,-0.1578,n.s.,0.0032,n.s.,7881,994,0.349
廢棄物揭露,低耗水,t-1,-0.1887,n.s.,-0.0108,n.s.,7083,985,0.3581
廢棄物揭露,低耗水,t-2,-0.1841,n.s.,0.0031,n.s.,6225,977,0.3639
廢棄物裁罰金額,全樣本,t-0,-0.0223,n.s.,-0.0013,n.s.,4097,909,0.3778
廢棄物裁罰金額,全樣本,t-1,-0.2513,n.s.,-0.0003,n.s.,4054,903,0.3656
廢棄物裁罰金額,全樣本,t-2,-0.1215,n.s.,-0.0009,n.s.,4002,892,0.3517
廢棄物裁罰金額,高耗水,t-0,-0.0382,n.s.,-0.0007,n.s.,2093,434,0.3274
廢棄物裁罰金額,高耗水,t-1,-0.0767,n.s.,-0.001,n.s.,2096,435,0.3308
廢棄物裁罰金額,高耗水,t-2,-0.1789,n.s.,-0.0013,n.s.,2087,433,0.3225
廢棄物裁罰金額,低耗水,t-0,-0.0081,n.s.,-0.0021,n.s.,2004,475,0.4125
廢棄物裁罰金額,低耗水,t-1,-0.4054,n.s.,-0.0031,n.s.,1958,468,0.3943
廢棄物裁罰金額,低耗水,t-2,0.0057,n.s.,-0.0043,n.s.,1915,459,0.3845
用水密集度,全樣本,t-0,-0.0627,n.s.,-0.0305,n.s.,8484,1558,0.3507
用水密集度,全樣本,t-1,-0.1964,n.s.,-0.019,n.s.,7176,1449,0.3509
用水密集度,全樣本,t-2,-0.3569,**,-0.0164,n.s.,5874,1319,0.3591
用水密集度,高耗水,t-0,-0.1928,n.s.,-0.0914,**,4099,671,0.3533
用水密集度,高耗水,t-1,-0.2135,n.s.,-0.0618,n.s.,3540,639,0.3598
用水密集度,高耗水,t-2,-0.2785,n.s.,-0.04,n.s.,2964,598,0.3541
用水密集度,低耗水,t-0,-0.0411,n.s.,-0.0034,n.s.,4385,887,0.3549
用水密集度,低耗水,t-1,-0.2503,n.s.,0.0166,n.s.,3636,810,0.3524
用水密集度,低耗水,t-2,-0.4459,**,-0.0113,n.s.,2910,721,0.3717
