論文名稱,畢業學年度,學位類別,作者,博碩士論文網址
Ovca1在小鼠發育時期之功能性探討,103,博士,余奕儒,https://hdl.handle.net/11296/cavxm5
城鄉母親親職效能與幼兒詞彙能力之相關研究,103,碩士,洪苓綣,https://hdl.handle.net/11296/wc4eg6
城鄉幼兒母親婚姻滿意度、親職效能和幼兒情緒與行為問題之相關研究,103,碩士,李雅樺,https://hdl.handle.net/11296/ubx4ke
城鄉母親親職效能和幼兒詞彙能力、幼兒情緒與行為問題之相關研究,103,碩士,邱靖婷,https://hdl.handle.net/11296/2jyc4z
城鄉幼兒母親婚姻滿意度、親職效能與教養態度之相關研究,103,碩士,章淑宜,https://hdl.handle.net/11296/722ycu
幼兒園教師轉任國小教師生涯轉換歷程之研究,103,碩士,張桂郁,https://hdl.handle.net/11296/7zyhuv
從教師主導到師生合作之教學行動研究,103,碩士,湯靜如,https://hdl.handle.net/11296/rx6qgp
餐廳屬性對服務價值、顧客滿意度與再購意願之影響─ 以台中市西提牛排為例,103,碩士,張庭棠,https://hdl.handle.net/11296/pw9kwv
臺中市國民小學校長角色實踐與教師工作士氣關係之研究,103,碩士,徐芬潔,https://hdl.handle.net/11296/4a4y9x
幼兒園創造思考音樂教學 之行動研究,103,碩士,林玲如,https://hdl.handle.net/11296/eghnvz
桃竹苗地區國民小學校長教學領導 與教師工作投入之研究,103,碩士,吳慧玲,https://hdl.handle.net/11296/3wj769
六年級學童的性別角色態度和科學興趣之相關研究,103,碩士,施慧宜,https://hdl.handle.net/11296/h4szzy
黃南球傳說研究,103,碩士,蘇雅玲,https://hdl.handle.net/11296/782f7e
兒童美語補習班人力資源管理制度與美語教師組織認同和任教意願的關係,103,碩士,張藍怡,https://hdl.handle.net/11296/st66bq
幼兒園教師工作壓力與身心健康異常原因之探究,103,碩士,洪鈺琁,https://hdl.handle.net/11296/qu92c8
九年一貫國語高年級教科書現代散文選文研究,103,碩士,高介仁,https://hdl.handle.net/11296/k2f6m3
盈餘透明性與資金成本之關聯研究─以我國上市櫃公司為樣本,103,碩士,陳吳柏霖,https://hdl.handle.net/11296/5546hf
以重要-表現程度分析法 探討幼兒園之服務品質,103,碩士,李郁瑩,https://hdl.handle.net/11296/83aan4
平臺策略建構之分析,103,碩士,徐沁華,https://hdl.handle.net/11296/75ks57
應用彈力工程概念建立評估醫療異常事件通報系統的方法,103,博士,林鎮江,https://hdl.handle.net/11296/s83728
不同海外涉入程度下國有股與國內機構法人股對績效的影響,103,碩士,沈安安,https://hdl.handle.net/11296/9dj5vp
無線充電器電磁干擾研究,103,碩士,彭文柏,https://hdl.handle.net/11296/gm74bd
具柔切輔助電路之零電壓轉移無橋式功率因數修正整流器,103,碩士,黃金雄,https://hdl.handle.net/11296/822f5m
豬生發泡卵母細胞之玻璃化冷凍保存,103,碩士,楊翊,https://hdl.handle.net/11296/jr89y3
