,"論文名稱","研究生","指導教授","校院名稱","系所名稱","學位類別","畢業學年度","論文出版年","引用網址","被引用","點閱","評分","下載","書目收藏"
"1","ESG重要嗎？半導體供應鏈中的ESG與效率：來自AMD與Intel供應商的比較證據","黃燕","盧文民","中國文化大學","國際企業管理學系","博士","114","2026","https://hdl.handle.net/11296/9mz2r4","0","0","0","0","0"
"2","ESG負面事件與媒體報導對ESG績效與盈餘管理間之關聯的調節效果","李亞峮","薛敏正","國立臺北大學","會計學系","碩士","114","2026","https://hdl.handle.net/11296/ft6b79","0","5","0","0","0"
"3","ESG平台滲透策略：客戶洞察、ESG映射、組織設計","陳忻桓","堯里昂","國立臺灣大學","企業管理碩士專班","碩士","114","2025","https://hdl.handle.net/11296/73f2hm","0","11","0","6","0"
"4","ESG與董事之受任人義務—自「強制型」與「非強制型」ESG事項之區分切入","楊萬謙","陳肇鴻","國立臺灣大學","法律學系","碩士","114","2025","https://hdl.handle.net/11296/bz7r68","0","12","0","3","0"
"5","ESG主題ETF與ESG連結薪酬關聯性之探討","莊翊詳","吳淑鈴","國立臺灣大學","會計學系","碩士","114","2025","https://hdl.handle.net/11296/cf8tu4","0","4","0","0","0"
"6","知覺球隊ESG管理對球迷支持與推薦意圖之影響：球迷個人ESG意識之調節效果","李柏漢","吳佳虹","元智大學","經營管理碩士班(國際企業學程)","碩士","114","2026","https://hdl.handle.net/11296/f2nzwg","0","18","0","2","0"
"7","台灣ESG指數型基金之績效與比較： 以ESG與科技類ETF為例","張簡文銀","李國榮","國立中山大學","經濟學研究所","碩士","114","2026","https://hdl.handle.net/11296/zpr9hs","0","50","0","14","0"
"8","人力資本能提升企業市場價值嗎?人力資本、ESG績效(S)、ESG重大性揭露與企業市場價值關係調節型中介模型之探討","劉翠山","張淑卿","銘傳大學","會計學系碩士班","碩士","114","2026","https://hdl.handle.net/11296/p64qh5","0","71","0","8","0"
"9","市場波動、羊群行為與 ETF 績效表現：台灣 ESG 與非 ESG 標的之實證","黃詩恩","李瑞琳","朝陽科技大學","財務金融系","碩士","114","2026","https://hdl.handle.net/11296/z57fqr","0","53","0","11","0"
"10","企業ESG表現與財務績效之關聯: 整體、構面與細項層次之實證分析","許瑞玲","顏子瑜","國立中正大學","財務金融系研究所","碩士","114","2026","","0","0","0","0","0"
"11","ESG 與人力資源對企業韌性的影響","徐翊鳳","顏子瑜","國立中正大學","財務金融系研究所","碩士","114","2026","","0","0","0","0","0"
"12","探討 ESG 評分對以本益比為基礎的股票投資策略績效之 影響","簡柏誠","林岳喬","國立中正大學","會計與資訊科技研究所","碩士","114","2026","https://hdl.handle.net/11296/kev34m","0","0","0","0","0"
"13","組織餘裕對ESG績效的影響： 環境動態性的調節作用","陳沛宜","廖宜慶","明志科技大學","經營管理系碩士班","碩士","114","2026","https://hdl.handle.net/11296/2g944k","0","0","0","0","0"
"14","董事長兼任總經理對公司績效之影響：以ESG表現為調節變數","林冠筑","陳信憲","國立彰化師範大學","財務金融技術學系行政管理碩士在職專班","碩士","114","2026","https://hdl.handle.net/11296/6fd3j4","0","0","0","0","0"
"15","台灣資訊產業與硬體產業ESG對公司財務績效影響之比較-員工流動率與永續報告書揭露之調節變數","賴薇如","蕭榮烈","國立臺北大學","國際財務金融碩士在職專班(IEMBA)","碩士","114","2026","https://hdl.handle.net/11296/8fdeqc","0","3","0","0","0"
"16","ESG 分數、等級變化與三大法人買賣不平衡行為之實證分析","吳方勻","廖美華","亞洲大學","財務金融學系","碩士","114","2026","https://hdl.handle.net/11296/hj27jg","0","0","0","0","0"
"17","台灣企業發行永續發展債券之宣告效果：外資持股比例與國際ESG認證之調節作用","王政雄","蕭榮烈","國立臺北大學","國際財務金融碩士在職專班(IEMBA)","碩士","114","2026","https://hdl.handle.net/11296/5pv7p2","0","1","0","0","0"
"18","不同經營架構及企業生命週期與ESG績效關聯之研究","古士杰","江向才","逢甲大學","會計學系","碩士","114","2026","https://hdl.handle.net/11296/9w9md5","0","0","0","0","0"
"19","ESG績效對代理成本之影響","吳東蓄","陳欣妤","靜宜大學","會計學系","碩士","114","2026","https://hdl.handle.net/11296/bts345","0","0","0","0","0"
"20","汽車業ESG對消費者購買意願之研究 : 以品牌信任為中介變數","陶德姸","涂宏任","靜宜大學","國際企業學系","碩士","114","2026","https://hdl.handle.net/11296/6h83k6","0","0","0","0","0"
"21","台灣半導體業在環境、社會與治理（ESG）個別支柱評級與財務績效之關聯性","謝育芙","黃啟瑞","國立臺北大學","國際財務金融碩士在職專班(IEMBA)","碩士","114","2026","https://hdl.handle.net/11296/pem4m7","0","2","0","0","0"
"22","永續評級分歧對ESG基金成分股調整之影響","吳尹婷","蔡宜均","東吳大學","企業管理學系","碩士","114","2026","https://hdl.handle.net/11296/5evj4r","0","3","0","0","0"
